,Coordinates,   Total Alerts
1809,"25.95045,55.43567",1
1810,"24.96286,56.94257",1
1811,"25.20944,56.76789",1
1812,"25.42902,57.13514",1
1813,"24.64066,56.88699",1
1814,"24.91716,57.11136",1
1815,"24.89454,57.13572",1
1816,"25.28992,56.77146",1
1817,"25.31545,57.17188",1
1818,"25.45976,56.89652",1
1819,"25.25705,56.88",1
1820,"24.94167,56.79238",1
1821,"24.97422,56.70391",1
1822,"25.46009,56.89669",1
1823,"25.15186,56.98026",1
1824,"25.45994,56.89667",1
1825,"25.11528,57.03768",1
1826,"25.33572,57.48006",1
1827,"25.21518,57.1089",1
1828,"25.30457,56.7183",1
1829,"24.98971,56.71962",1
1830,"24.99081,56.85771",1
1831,"24.95114,56.72333",1
1832,"25.20585,57.24091",1
1833,"25.20953,56.74228",1
1834,"24.9709,56.76621",1
1835,"25.46042,56.89685",1
1836,"25.05574,56.82442",1
1837,"24.77918,56.79132",1
1838,"24.82863,56.83867",1
1839,"24.97884,57.30404",1
1840,"25.45977,56.89667",1
1841,"26.15724,55.7984",1
1842,"24.61518,56.96247",1
1843,"24.80627,57.02506",1
1844,"25.46066,57.04065",1
1845,"25.05696,56.92664",1
1846,"25.07295,56.7867",1
1847,"26.13687,55.6815",1
1848,"25.82777,56.8847",1
1849,"25.11964,56.83086",1
1850,"26.27849,55.8735",1
1851,"24.83283,56.928",1
1852,"26.90461,56.36231",1
1853,"25.85981,56.9074",1
1854,"24.99056,56.85749",1
1855,"24.73417,56.82079",1
1856,"24.9639,56.73441",1
1857,"24.98565,56.86521",1
1858,"25.28358,56.84349",1
1859,"25.08409,56.8727",1
1860,"25.24211,57.27748",1
1861,"25.45279,56.74476",1
1862,"24.89372,56.7495",1
1863,"24.93327,57.29942",1
1864,"24.88847,56.95574",1
1865,"26.97642,56.37869",1
1866,"24.71575,56.95517",1
1867,"25.04673,57.29883",1
1868,"25.24953,56.77862",1
1869,"25.11349,57.46853",1
1870,"25.20508,57.25583",1
1871,"25.20837,56.74295",1
1872,"25.70293,57.02849",1
1873,"25.15723,57.28797",1
1874,"25.25705,56.87999",1
1875,"25.42872,56.71405",1
1876,"25.45954,57.04059",1
1877,"24.85425,56.77461",1
1878,"24.84559,56.8442",1
1879,"25.46051,56.8958",1
1880,"24.83257,56.84247",1
1881,"26.1376,55.6824",1
1882,"24.94643,56.80352",1
1883,"25.00534,56.83872",1
1884,"25.80978,56.89983",1
1885,"25.1383,56.73265",1
1886,"25.46112,57.04035",1
1887,"24.8189,57.13101",1
1888,"24.99085,57.05134",1
1889,"25.56182,56.93434",1
1890,"24.69939,56.8747",1
1891,"25.37052,56.8758",1
1892,"24.8313,56.78364",1
1893,"25.45469,57.05929",1
1894,"26.36009,55.65872",1
1895,"25.76942,56.95468",1
1896,"24.96257,56.72838",1
1897,"24.79293,56.83125",1
1898,"25.46071,56.89765",1
1899,"26.38845,56.69517",1
1900,"25.3044,56.71841",1
1901,"25.10439,57.06129",1
1902,"24.84669,56.99964",1
1903,"26.5235,57.03323",1
1904,"24.9357,57.16307",1
1905,"24.97496,56.96003",1
1906,"24.93403,57.03616",1
1907,"25.46106,57.04043",1
1908,"24.735,57.09863",1
1909,"24.77862,57.02853",1
1910,"24.86391,56.84531",1
1911,"25.92624,55.50516",1
1912,"24.98801,56.86188",1
1913,"24.97892,56.85442",1
1914,"25.31274,56.71836",1
1915,"24.88386,56.98919",1
1916,"24.81436,56.80741",1
1917,"25.3661,56.8203",1
1918,"24.903,56.95891",1
1919,"25.46119,57.04055",1
1920,"25.30444,56.71856",1
1921,"25.92752,55.43381",1
1922,"25.196,57.06661",1
1923,"26.35629,55.66135",1
1924,"25.30461,56.7187",1
1925,"25.05077,56.7589",1
1926,"26.52785,57.04816",1
1927,"24.84002,56.95443",1
1928,"25.46111,57.04047",1
1929,"24.87937,56.79543",1
1930,"25.8718,56.92525",1
1931,"24.77358,56.793",1
1932,"25.45993,56.89667",1
1933,"26.28964,55.86616",1
1934,"25.47883,56.75013",1
1935,"25.3093,56.86041",1
1936,"24.78795,56.81388",1
1937,"25.34345,56.78584",1
1938,"25.30489,56.71839",1
1939,"26.13695,55.68183",1
1940,"26.97304,56.38025",1
1941,"24.70977,57.06235",1
1942,"24.71182,56.8304",1
1943,"24.76605,57.09867",1
1944,"25.14829,56.9337",1
1945,"26.53166,57.05581",1
1946,"25.46105,57.04042",1
1947,"25.30436,56.7183",1
1948,"24.96725,56.97802",1
1949,"24.9821,57.18558",1
1950,"25.04359,56.79233",1
1951,"24.97389,56.863",1
1952,"25.45804,56.89355",1
1953,"25.34937,56.92258",1
1954,"25.46104,57.04043",1
1955,"25.45334,56.74437",1
1956,"25.29394,57.15983",1
1957,"24.90162,56.90584",1
1958,"24.77758,56.9805",1
1959,"25.4598,56.89673",1
1960,"24.68455,56.9731",1
1961,"25.46531,56.9105",1
1962,"25.00175,57.01394",1
1963,"25.40441,56.95945",1
1964,"26.64967,56.74781",1
1965,"25.30453,56.71871",1
1966,"25.45274,56.74475",1
1967,"24.86461,57.2386",1
1968,"24.76328,56.88976",1
1969,"26.15715,55.79825",1
1970,"24.89574,56.82965",1
1971,"24.73206,56.80788",1
1972,"25.30443,56.71835",1
1973,"25.46115,57.04046",1
1974,"25.3048,56.71805",1
1975,"24.83864,56.97774",1
1976,"25.21483,56.8941",1
1977,"25.46112,57.04048",1
1978,"25.07807,56.99883",1
1979,"24.84257,56.86114",1
1980,"25.11988,56.71471",1
1981,"24.98863,57.27212",1
1982,"25.26118,56.90595",1
1983,"24.99233,57.30849",1
1984,"26.6159,56.90603",1
1985,"25.66723,56.95941",1
1986,"25.30465,56.71855",1
1987,"25.11116,56.8156",1
1988,"24.81375,57.12056",1
1989,"25.1821,57.09271",1
1990,"25.34004,56.88782",1
1991,"25.31084,57.011",1
1992,"26.29475,55.869",1
1993,"26.15711,55.79824",1
1994,"24.99476,56.85298",1
1995,"25.34978,56.96257",1
1996,"25.30444,56.71854",1
1997,"25.12478,57.38431",1
1998,"25.93864,55.51059",1
1999,"25.3045,56.71828",1
2000,"25.3644,57.01972",1
2001,"25.30449,56.71834",1
2002,"25.46065,56.89966",1
2003,"24.87048,56.92584",1
2004,"24.95073,56.68088",1
2005,"24.68038,56.84885",1
2006,"25.3144,56.78581",1
2007,"24.79531,56.90619",1
2008,"24.84744,56.78464",1
2009,"25.21532,56.76589",1
2010,"24.7722,56.89728",1
2011,"25.33602,57.1045",1
2012,"26.54343,57.0687",1
2013,"25.03436,56.88696",1
2014,"24.7191,57.05189",1
2015,"25.46121,57.04046",1
2016,"25.16609,56.93508",1
