,Coordinates,   Total Alerts
290,"24.73141,56.82618",1
291,"24.88029,56.95934",1
292,"25.46272,56.91311",1
293,"25.03678,56.74349",1
294,"25.30411,56.71761",1
295,"25.10968,57.30483",1
296,"24.80597,57.17775",1
297,"25.46011,56.89667",1
298,"25.06608,56.9847",1
299,"26.29504,55.86891",1
300,"25.00253,57.23612",1
301,"24.73117,57.00648",1
302,"25.37051,56.8758",1
303,"25.25353,56.94165",1
304,"25.34873,56.7718",1
305,"25.0451,56.9829",1
306,"24.99086,56.85751",1
307,"25.40976,56.80082",1
308,"26.29482,55.86886",1
309,"24.72801,56.86529",1
310,"25.30481,56.71783",1
311,"25.4612,57.041",1
312,"25.02057,56.97788",1
313,"24.937,57.00385",1
314,"25.05523,56.9047",1
315,"26.13806,55.68497",1
316,"26.56186,57.05521",1
317,"24.82992,56.80565",1
318,"24.72069,56.96299",1
319,"25.87951,56.93297",1
320,"24.73825,57.02341",1
321,"25.16127,56.83723",1
322,"25.30451,56.71827",1
323,"26.29491,55.86881",1
324,"24.90509,57.27041",1
325,"24.76477,56.80668",1
326,"24.83082,56.89018",1
327,"26.57923,57.05136",1
328,"24.99051,56.85732",1
329,"25.45986,56.89667",1
330,"25.4605,56.89079",1
331,"24.9687,56.77581",1
332,"25.29905,56.75247",1
333,"25.08756,57.24642",1
334,"25.47773,56.89507",1
335,"25.05739,56.83073",1
336,"24.77532,57.07483",1
337,"26.5024,56.35056",1
338,"25.00954,56.94678",1
339,"25.20632,57.21813",1
340,"24.65818,56.91536",1
341,"26.13723,55.67997",1
342,"26.29493,55.8688",1
343,"25.09431,56.91583",1
344,"25.00786,56.96852",1
345,"26.34994,56.58734",1
346,"24.97886,56.74608",1
347,"25.4611,57.0404",1
348,"25.25703,56.88001",1
349,"25.04582,57.24062",1
350,"26.91088,56.5742",1
351,"25.35135,56.71307",1
352,"25.23696,56.87666",1
353,"25.19677,56.92123",1
354,"25.05822,56.70438",1
355,"24.95102,56.84276",1
356,"25.17043,56.89498",1
357,"24.99062,56.85762",1
358,"24.66847,56.92502",1
359,"25.38149,57.16258",1
360,"24.97503,56.66587",1
361,"24.99062,56.85738",1
362,"26.13138,55.82184",1
363,"24.89031,57.20576",1
364,"25.02963,57.0614",1
365,"25.4599,56.8967",1
366,"25.79801,55.40101",1
367,"25.70107,57.0326",1
368,"25.28222,57.01974",1
369,"24.81894,57.15156",1
370,"24.69376,56.8741",1
371,"24.62474,56.99621",1
372,"24.91942,57.12927",1
373,"25.48251,56.8855",1
374,"25.32708,56.83055",1
375,"25.197,57.08095",1
376,"25.57783,56.86154",1
377,"25.18145,56.89735",1
378,"26.53447,57.06563",1
379,"24.89251,56.75018",1
380,"25.45273,56.74526",1
381,"24.99065,56.85756",1
382,"25.30443,56.71989",1
383,"25.45998,56.89653",1
384,"25.37042,56.87581",1
385,"25.50112,56.88537",1
386,"26.0166,56.89922",1
387,"25.09618,57.09873",1
388,"25.45999,56.89706",1
389,"24.95619,56.75103",1
390,"25.00235,56.87859",1
391,"24.96789,56.92804",1
392,"25.46038,56.89705",1
393,"26.29493,55.86883",1
394,"26.99991,56.70368",1
395,"24.80007,57.0643",1
396,"25.03082,56.75803",1
397,"25.65012,56.95555",1
398,"25.45984,56.89667",1
399,"25.47309,56.90323",1
400,"25.04784,56.76201",1
401,"24.95235,56.84455",1
402,"25.01515,56.92635",1
403,"25.27159,56.77245",1
404,"24.7011,57.04362",1
405,"25.46107,57.04045",1
406,"25.05054,56.66287",1
407,"24.7124,57.07866",1
408,"25.46664,56.91623",1
409,"24.91344,57.0879",1
410,"24.86329,56.99861",1
411,"26.95922,56.38525",1
412,"25.30684,56.72026",1
413,"26.29325,55.8742",1
414,"26.13677,55.68151",1
415,"25.04001,56.65859",1
416,"25.30553,56.71777",1
417,"24.96672,57.06152",1
418,"25.4599,56.89743",1
419,"25.52054,56.9403",1
420,"25.30547,56.71745",1
421,"25.65672,56.9261",1
422,"25.90522,56.91978",1
423,"26.38591,56.69013",1
424,"25.45991,56.89654",1
425,"25.20211,57.17663",1
426,"25.46016,56.89687",1
427,"26.15703,55.79817",1
428,"25.17108,57.10749",1
429,"25.30447,56.7188",1
430,"25.11066,56.8966",1
431,"25.22442,56.83256",1
432,"25.92299,55.33426",1
433,"26.38772,57.0131",1
434,"25.46154,57.04005",1
435,"25.30446,56.71829",1
436,"26.99413,56.63797",1
437,"25.05883,57.24008",1
438,"26.295,55.86833",1
439,"24.80217,57.09848",1
440,"25.4612,57.04018",1
441,"25.23244,57.29106",1
442,"25.30446,56.7184",1
443,"25.3044,56.71837",1
444,"24.99046,56.85777",1
445,"24.76987,57.11427",1
446,"24.98574,56.85677",1
447,"26.76772,56.95449",1
448,"25.1729,56.71881",1
449,"25.72815,56.97225",1
450,"24.87867,57.18219",1
451,"25.3088,56.7136",1
452,"24.82854,56.9821",1
453,"24.88901,57.00482",1
454,"25.16166,57.04387",1
455,"25.30449,56.71843",1
456,"25.43706,56.74365",1
457,"24.86722,56.88372",1
458,"25.45985,56.89665",1
459,"26.29352,55.8721",1
